id,Olivier Besancenot,Marie-George Buffet,Gérard Schivardi,François Bayrou,José Bové,Dominique Voynet,Philippe de Villiers,Ségolène Royal,Frédéric Nihous,Jean-Marie Le Pen,Arlette Laguiller,Nicolas Sarkozy
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,1,1,0,0,0,0,1,0
5,0,0,0,1,1,0,0,1,0,0,0,1
6,0,0,0,1,0,0,0,0,0,0,0,0
7,1,0,0,0,1,0,0,1,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0
11,1,0,0,1,1,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,0,1,1,0,0,1,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,1,1,0,0,1,0
16,1,0,0,0,1,0,0,1,0,0,0,0
17,1,0,0,0,1,1,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,0,0,0,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,1,0,0,1,0,1
22,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,1,0,0,0,0,0,0,0,1
26,0,0,0,1,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,1,0
28,1,0,0,1,1,0,1,0,0,0,0,0
29,0,1,0,0,1,0,0,1,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,1,0,0,1,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,1,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,1
35,0,0,0,1,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,0,0,0,1
37,1,0,1,1,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,1,0,0,0
39,0,0,0,0,0,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,0,0,1
42,0,1,0,1,0,1,0,1,0,0,0,1
43,0,0,0,0,0,0,1,0,0,1,0,0
44,1,0,0,0,1,0,0,1,0,0,0,0
45,0,0,0,1,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0,0,1,0,1,0,1,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1,0,0,0,0,0,1,0,0,0,0
51,1,0,0,0,1,0,0,1,0,0,0,0
52,0,0,0,1,0,0,0,0,0,0,0,1
53,1,1,0,0,1,1,0,1,0,0,0,0
54,0,0,0,1,0,1,0,1,0,0,0,0
55,0,0,0,1,0,0,0,0,1,0,0,1
56,0,0,0,1,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,1,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0
60,0,0,0,1,0,0,1,0,0,0,0,1
61,0,0,0,1,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,1,0,0,0,1,0,0,0,0
64,0,0,0,0,0,0,1,0,0,1,0,1
65,1,0,0,1,1,0,0,1,0,0,0,0
66,0,0,0,1,1,1,0,1,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,1,0
71,1,0,0,0,0,0,0,1,0,0,0,0
72,0,0,0,1,0,0,0,1,0,0,0,1
73,0,0,0,1,0,0,1,1,0,0,0,1
74,0,0,0,1,0,1,0,0,0,0,0,1
75,0,0,0,1,0,0,0,1,0,0,0,0
76,0,1,0,0,1,0,0,1,0,0,0,0
77,0,1,0,0,0,0,0,1,0,0,0,0
78,0,1,0,1,0,0,1,0,0,0,0,1
79,0,0,0,1,0,0,0,0,0,0,0,1
80,0,0,0,0,0,1,1,0,1,0,0,1
81,0,0,0,1,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,1,0,0
84,0,0,0,0,0,0,1,0,0,1,0,0
85,0,0,0,0,0,0,1,0,0,0,0,0
86,0,0,0,1,0,0,0,0,0,0,0,1
87,1,0,0,0,0,0,0,0,1,0,0,0
88,0,0,0,1,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0,1,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0
94,1,1,0,1,1,1,0,1,0,0,0,0
95,0,0,0,1,0,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0,1
98,0,0,0,0,0,0,0,0,0,0,0,1
99,0,0,0,1,1,1,1,1,0,0,0,0
100,0,0,0,0,0,0,0,1,0,0,0,0
101,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0,0,0,0,0,1,0,0,0,0,0
103,1,0,0,1,0,1,0,1,0,0,0,0
104,0,0,0,1,0,0,0,0,0,0,0,0
105,0,0,0,1,0,0,0,0,0,0,0,1
106,0,0,1,1,0,0,1,0,0,1,0,1
107,0,0,0,1,0,1,0,1,0,0,0,0
108,0,0,0,0,1,0,0,1,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1
110,0,0,0,1,0,0,0,1,0,0,0,0
111,0,0,0,0,0,1,0,0,0,0,0,1
112,0,0,0,1,0,0,0,1,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,1
114,1,0,0,0,1,0,0,1,0,0,0,0
115,0,0,0,0,0,0,0,1,0,0,0,0
116,0,0,0,0,0,1,0,1,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1,0,0,1,1,0,1,1,0,1,0
119,0,0,0,0,0,0,0,1,0,0,0,0
120,0,0,0,1,1,0,1,0,1,0,0,1
121,0,0,0,0,0,0,0,0,0,0,0,1
122,0,0,0,1,0,0,0,1,0,0,0,0
123,0,0,0,0,0,1,0,1,0,0,0,0
124,1,0,0,1,0,0,0,1,0,0,0,0
125,1,1,0,1,0,1,0,1,0,0,0,1
126,1,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,1,0,0,0,0,0
128,1,0,0,1,0,1,0,1,0,0,0,0
129,0,0,0,0,0,0,0,1,0,1,0,1
130,0,0,0,1,0,0,1,1,0,0,0,1
131,0,0,0,0,0,0,0,0,0,0,0,1
132,0,1,0,0,0,1,0,1,0,0,0,0
133,0,0,0,0,0,1,0,1,0,0,0,0
134,0,1,0,0,0,1,0,0,0,0,0,0
135,0,0,0,0,0,0,0,1,0,0,0,0
136,1,0,1,0,0,0,0,1,0,0,0,0
137,0,0,0,1,0,0,1,0,0,0,0,1
138,0,0,0,1,0,0,0,0,0,0,0,0
139,0,0,0,1,1,0,0,0,0,0,0,0
140,1,0,0,1,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,1,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0
143,1,0,0,0,0,0,1,1,0,1,0,0
144,1,0,0,0,0,0,1,1,0,0,0,0
145,0,0,0,1,0,0,1,0,0,0,0,1
146,0,0,0,1,0,0,0,0,0,0,0,1
147,1,0,0,0,0,0,1,0,0,0,0,0
148,0,0,0,1,0,0,0,0,0,0,0,1
149,0,0,1,0,0,0,1,0,1,0,1,0
150,0,1,1,0,0,1,0,0,0,0,1,0
151,0,0,0,1,0,0,0,1,0,0,0,1
152,1,0,0,0,1,0,0,0,0,0,1,0
153,0,0,0,0,0,0,0,0,1,0,0,1
154,0,0,0,0,0,0,0,1,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,1
156,0,0,0,0,0,1,0,1,0,0,0,0
157,0,0,0,1,0,1,0,1,0,0,0,0
158,0,0,0,0,0,0,0,1,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,1
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,1,0,0
162,0,0,0,1,0,0,0,1,0,0,0,0
163,0,0,0,1,0,0,0,1,0,0,0,0
164,0,0,0,1,0,0,0,1,0,0,0,0
165,1,0,0,0,1,1,0,1,0,0,0,0
166,0,0,0,0,0,0,0,1,0,0,0,0
167,0,0,0,0,0,0,0,1,0,0,0,1
168,0,0,0,1,0,0,0,1,0,0,0,0
169,1,0,0,1,1,0,0,1,0,0,0,0
170,1,0,0,0,1,1,0,1,0,0,0,0
171,0,0,0,1,1,0,0,0,0,0,0,1
172,1,0,0,1,0,0,0,1,1,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,1
174,0,0,0,1,0,1,0,1,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,1
176,1,0,0,1,0,0,0,1,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,1,0
178,0,0,0,0,0,0,0,0,1,0,0,0
179,1,0,0,1,0,0,0,1,0,0,0,1
180,0,0,0,1,0,0,0,0,0,0,0,0
181,1,0,0,0,1,0,0,1,0,0,1,0
182,1,0,0,0,1,0,0,0,0,0,0,0
183,1,1,0,0,1,1,0,1,0,0,1,0
184,0,0,0,0,0,0,0,0,0,1,0,1
185,0,0,0,1,1,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,1,0,0,0,0
187,0,0,0,0,0,0,0,0,0,1,1,1
188,1,0,0,0,0,0,0,1,0,0,0,0
189,1,0,0,1,0,0,0,0,0,0,0,1
190,0,0,0,0,0,0,0,0,0,0,0,1
191,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,1
193,1,1,0,0,0,1,0,1,0,0,0,0
194,0,0,1,1,0,0,0,0,1,0,0,1
195,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,1
197,1,0,0,1,0,0,0,1,0,0,0,0
198,0,0,0,0,0,0,0,1,0,0,0,0
199,1,0,0,0,0,0,0,1,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,1,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,0,0,0,0,1
203,1,0,0,1,0,0,0,1,0,0,0,0
204,0,0,0,1,0,0,0,1,0,0,0,1
205,1,0,0,0,1,0,0,1,0,0,0,0
206,0,0,0,1,0,0,0,0,0,0,0,1
207,1,0,0,0,0,0,0,0,1,0,0,0
208,0,0,0,0,0,0,1,1,0,0,0,1
209,0,0,0,1,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,1,0,0,0,0,1
211,0,0,0,1,1,0,0,0,0,0,0,0
212,0,0,0,1,0,0,0,0,0,0,0,0
213,1,1,0,0,0,0,0,1,0,0,1,0
214,1,0,1,0,1,0,0,0,0,0,0,0
215,0,0,0,1,1,0,0,0,0,1,0,1
216,0,1,0,0,0,0,0,1,0,0,0,0
217,0,0,0,1,0,0,0,1,0,0,0,0
218,1,0,0,0,0,0,1,0,0,0,0,0
219,0,0,0,0,1,0,0,0,0,1,1,1
220,1,0,0,0,0,0,0,1,0,0,0,0
221,1,0,0,1,0,0,0,1,0,0,0,0
222,1,1,0,0,0,0,0,1,0,0,0,0
223,0,0,0,0,0,1,0,1,0,0,0,0
224,0,0,0,0,0,0,1,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,1
226,0,0,0,0,0,0,0,1,0,1,0,1
227,0,0,0,1,0,0,0,1,0,0,0,1
228,0,0,1,1,1,0,0,0,0,0,0,0
229,1,0,0,0,1,0,0,0,0,1,0,0
230,0,0,0,1,0,0,0,1,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,1,0,0,0,0
234,1,0,0,0,0,1,0,1,0,0,1,0
235,0,0,0,1,0,0,0,1,0,0,0,0
236,0,0,0,1,0,0,0,0,0,0,1,0
237,0,0,0,1,0,0,0,0,0,0,0,1
238,0,0,0,1,0,0,0,1,0,0,0,1
239,0,0,0,1,0,0,0,0,0,0,0,1
240,0,0,0,1,0,1,0,0,0,0,0,1
241,0,0,0,0,0,0,0,0,0,0,0,1
242,0,0,0,1,0,0,0,1,0,0,0,0
243,0,0,0,1,0,0,0,0,0,1,0,1
244,0,0,0,1,0,1,0,1,0,0,0,0
245,0,0,0,1,0,0,0,1,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,1
247,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,1,0,0,0,0,0,1
249,0,0,0,1,0,0,0,0,0,0,0,1
250,0,0,0,0,0,0,0,1,0,0,0,0
251,0,0,0,1,1,1,0,0,0,0,0,0
252,0,0,0,0,0,0,1,0,0,1,0,1
253,0,0,0,0,0,0,0,0,0,0,0,1
254,1,0,0,1,1,1,0,0,0,0,0,0
255,0,0,0,0,0,0,1,0,0,0,0,1
256,0,0,0,0,0,0,0,0,0,0,0,1
257,1,0,0,1,0,1,0,0,0,0,0,0
258,0,0,0,1,0,1,0,1,0,0,0,1
259,0,0,0,1,0,0,0,0,0,0,0,1
260,0,0,0,0,0,0,0,0,0,0,0,1
261,0,0,0,1,0,0,0,0,0,0,0,1
262,1,0,0,0,0,1,0,0,0,0,0,0
263,0,0,0,0,0,0,1,0,0,1,0,1
264,0,0,0,0,0,0,0,1,0,0,0,0
265,1,1,0,0,1,0,0,0,0,0,0,1
266,1,0,0,0,1,0,0,0,0,0,1,0
267,0,0,0,1,1,0,0,1,0,0,0,0
268,1,0,0,1,0,0,0,1,0,0,1,0
269,0,0,0,0,0,0,1,0,0,1,0,1
270,1,0,0,0,0,0,0,0,1,1,0,0
271,1,0,0,0,0,0,0,1,0,0,1,0
272,0,0,0,0,0,0,1,0,0,1,0,1
273,0,0,0,1,0,1,0,1,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,1,0,0,0,1,0,0,0,0
277,0,0,0,1,0,0,0,1,0,0,0,1
278,0,0,0,0,0,0,0,0,0,0,0,0
279,1,0,0,1,0,1,0,1,0,1,1,1
280,0,1,0,1,0,1,0,0,0,0,0,0
281,0,1,0,0,1,1,0,1,0,0,0,0
282,0,0,0,1,0,0,0,0,0,0,0,1
283,0,0,0,0,0,0,0,0,0,1,0,1
284,1,1,0,1,1,1,0,1,0,0,1,0
285,0,0,0,1,0,0,1,0,1,1,1,1
286,0,0,0,0,0,0,0,1,0,0,0,0
287,0,0,0,0,0,0,0,1,0,0,0,1
288,0,0,0,1,0,0,0,1,0,0,0,1
289,0,0,0,0,0,0,0,0,0,0,0,0
290,1,0,0,1,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,1
292,0,0,0,1,0,0,0,0,0,0,0,1
293,0,0,0,1,0,1,0,0,0,0,0,1
294,0,0,1,0,0,0,1,0,0,0,0,1
295,0,0,0,1,0,0,0,1,0,0,0,1
296,0,0,0,1,1,0,0,1,0,0,0,1
297,0,0,0,1,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,1,0,0,0,0,1
299,0,0,0,0,0,0,0,0,0,0,0,1
300,0,0,0,1,0,0,1,1,0,1,0,1
301,0,0,0,1,0,1,0,1,0,0,0,0
302,0,0,0,1,0,0,0,0,0,0,0,1
303,0,0,0,1,0,0,0,1,0,0,1,0
304,0,0,0,1,1,1,0,1,0,1,0,1
305,0,0,0,1,1,1,0,1,1,0,1,1
306,0,0,1,1,0,1,0,0,1,0,0,1
307,1,1,1,0,1,0,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,1,0,1
309,0,0,0,1,0,0,0,0,0,0,0,1
310,1,1,0,0,0,0,0,1,0,0,1,0
311,0,0,0,0,0,0,0,0,0,1,0,1
312,0,0,0,1,0,0,0,0,0,0,0,1
313,0,0,0,0,0,0,1,0,0,0,0,1
314,0,0,0,0,0,0,1,0,0,0,0,1
315,0,0,0,0,0,0,0,1,0,0,0,0
316,0,0,0,0,0,1,0,1,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,1
318,0,0,0,0,0,0,0,0,0,0,0,1
319,0,0,0,0,0,1,0,1,0,0,0,0
320,0,0,0,0,0,0,1,0,0,0,0,1
321,0,0,0,0,0,0,0,0,0,0,0,1
322,0,0,0,0,0,1,0,1,0,0,0,0
323,0,0,0,0,0,0,1,0,0,0,0,1
324,0,0,0,0,0,0,0,0,0,1,1,1
325,0,0,0,0,0,0,0,0,0,0,0,1
326,1,0,0,1,0,0,0,1,0,0,0,1
327,1,0,0,1,0,1,0,1,0,0,1,0
328,0,0,0,1,1,0,1,0,0,0,0,1
329,0,0,0,0,0,1,0,1,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,1
331,0,0,0,0,0,0,0,1,0,0,0,0
332,0,0,0,1,0,1,0,0,0,0,0,0
333,1,0,0,1,1,1,0,1,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0
335,0,1,0,0,0,0,0,1,0,0,0,0
336,1,0,0,1,1,0,0,1,0,0,0,0
337,0,1,0,0,0,0,0,1,0,0,0,1
338,0,0,0,1,0,0,0,1,0,0,0,1
339,1,0,0,0,0,0,0,1,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,1
341,1,0,0,1,0,0,0,1,0,0,0,0
342,0,0,0,1,0,0,0,0,0,0,0,0
343,0,0,0,1,0,0,0,0,0,0,0,1
344,0,0,0,1,0,0,0,0,0,0,0,0
345,1,0,0,1,0,0,0,0,0,0,0,1
346,0,0,0,1,0,1,0,1,0,0,0,1
347,0,0,0,0,0,0,0,0,0,0,0,1
348,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,1,0,0,1,0,1
350,0,0,0,1,0,1,0,0,0,0,0,1
351,0,0,0,0,0,0,0,0,0,0,0,1
352,0,0,0,0,0,0,1,0,0,1,0,1
353,0,0,0,1,0,1,0,0,0,0,0,1
354,1,0,1,0,0,0,0,0,0,0,0,0
355,0,0,0,1,0,0,0,0,0,1,0,1
356,0,0,0,1,1,0,0,1,0,0,0,1
357,0,0,0,1,0,0,1,0,0,1,0,0
358,1,0,0,0,1,0,0,1,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0,0,0,0,0,1
361,1,1,0,0,0,0,0,1,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,1
363,0,0,0,0,0,0,1,0,0,0,0,1
364,0,0,0,0,0,0,0,0,0,0,0,1
365,0,0,0,0,0,0,0,1,0,0,0,1
366,0,0,0,1,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,1,0,0,1,0,0,1,0,1
369,0,0,0,1,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,1
371,1,0,0,0,1,0,0,1,0,0,0,0
372,0,1,0,0,0,0,0,0,0,1,0,1
373,0,0,0,1,0,0,0,0,0,0,0,0
374,0,0,0,1,0,0,0,1,0,0,0,0
375,0,0,0,1,0,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,0,0,0,0,1
377,0,0,0,1,0,0,0,0,0,0,0,1
378,0,0,0,0,0,0,0,0,0,0,0,1
379,0,0,0,1,0,0,0,0,0,0,0,0
380,0,0,0,1,0,1,0,1,0,0,0,0
381,0,0,0,0,0,0,0,1,0,0,0,0
382,0,0,0,1,0,0,1,1,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,1
384,0,0,0,1,0,0,1,0,0,1,0,1
385,0,0,0,1,0,1,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,1
387,0,0,0,0,1,0,0,1,0,0,0,0
388,0,0,0,0,0,0,0,0,0,1,0,0
389,0,0,0,1,0,0,0,1,0,0,0,0
390,0,0,0,1,0,0,0,0,0,0,0,0
391,0,0,0,1,0,0,0,0,0,1,0,1
392,0,0,0,0,0,0,0,0,0,0,0,1
393,0,0,0,0,0,0,0,0,0,0,0,1
394,0,0,0,0,0,0,0,1,0,0,0,1
395,0,0,0,1,0,0,0,1,0,0,0,1
396,0,1,0,1,1,1,0,1,0,0,0,1
397,1,0,0,0,0,0,0,1,0,0,1,0
398,0,0,0,1,0,1,0,1,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,1
400,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,1,0,0,1,0,0,1,0,1
402,0,0,0,1,0,0,1,0,0,1,0,1
403,0,0,0,1,0,0,0,0,0,0,0,1
404,1,0,0,1,1,1,0,0,0,0,1,0
405,0,0,0,1,0,1,0,1,0,0,0,0
406,0,0,0,1,0,0,0,1,0,0,0,0
407,0,0,0,0,0,0,0,1,0,0,0,0
408,1,0,0,0,1,0,0,1,0,0,1,0
409,1,0,0,1,0,0,0,1,0,0,1,0
410,0,0,0,1,0,0,0,1,0,0,1,0
411,0,0,0,1,0,0,0,1,0,0,0,1
412,0,0,0,1,1,0,0,1,0,0,1,0
413,0,0,0,1,0,0,0,1,0,0,0,0
414,0,0,0,0,0,0,0,1,0,0,0,1
415,0,0,0,0,0,1,0,1,0,0,0,0
416,1,0,0,0,0,0,0,1,0,0,0,0
417,0,0,0,0,0,0,0,1,0,0,0,0
418,0,0,0,1,0,0,0,0,0,0,0,0
419,0,1,0,0,0,1,0,0,0,0,0,0
420,0,0,0,1,0,0,0,1,0,0,0,0
421,1,0,0,1,0,0,0,0,0,0,1,0
422,1,1,0,0,0,1,0,0,0,0,1,0
423,0,0,0,1,0,0,0,1,0,0,0,0
424,0,0,0,1,0,0,0,1,0,0,0,0
425,0,0,0,1,0,1,0,0,0,0,0,0
426,0,0,0,0,0,0,1,0,0,0,0,1
427,0,0,0,1,0,0,0,0,0,0,0,1
428,0,0,0,0,0,0,0,0,0,0,1,1
429,0,0,0,0,0,0,0,0,0,0,0,1
430,0,0,0,1,0,0,0,0,0,0,0,1
431,1,0,0,1,1,0,0,1,0,0,0,1
432,0,0,0,1,1,1,0,0,0,1,0,1
433,0,0,0,1,0,0,0,1,0,1,0,1
434,0,0,0,1,0,0,0,0,0,0,0,1
435,0,0,0,1,0,0,0,1,0,0,0,0
436,0,0,0,1,0,0,0,0,0,0,0,1
437,0,0,0,1,0,0,1,0,0,0,0,1
438,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,1,0,0,1,0,0,0,0,1
441,0,0,0,1,0,0,0,0,0,0,0,1
442,0,0,0,1,0,0,0,1,0,0,1,1
443,1,0,0,1,0,0,0,0,0,0,0,1
444,0,0,0,1,0,1,0,0,0,0,0,1
445,1,0,1,0,0,0,1,0,1,0,0,1
446,0,0,0,0,0,0,0,1,0,0,0,1
447,0,0,0,1,0,0,0,0,0,0,0,1
448,0,0,0,0,0,0,0,0,0,0,0,1
449,0,0,0,0,0,0,0,0,0,1,0,1
450,0,0,0,1,0,0,0,0,0,0,0,1
451,0,0,0,0,0,0,0,0,0,0,0,1
452,1,1,0,0,0,1,0,1,0,0,0,0
453,1,0,0,1,0,0,0,1,0,0,0,0
454,1,0,0,1,1,1,0,1,0,0,0,0
455,0,0,0,1,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0,0,1
457,0,0,0,0,0,0,0,0,0,0,0,1
458,0,0,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,1,1,0,1,0,0,1,0
460,0,0,0,1,0,0,0,0,0,0,0,1
461,0,0,0,0,1,0,0,1,0,1,0,1
462,0,0,0,0,0,0,0,0,0,0,0,1
463,0,0,0,1,0,0,0,1,0,0,0,1
464,0,0,0,1,0,0,0,1,0,0,0,0
465,0,0,0,1,0,0,0,0,0,0,0,1
466,1,0,0,1,0,0,0,1,0,0,1,1
467,0,0,0,1,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,1
469,0,0,0,1,0,0,0,1,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,0,1
471,0,0,0,1,0,0,0,0,1,1,0,1
472,0,0,0,1,0,0,0,0,0,0,0,1
473,1,0,0,0,0,0,0,0,0,1,0,1
474,1,0,0,0,1,0,0,1,0,0,0,0
475,0,0,0,0,0,1,0,1,0,0,0,0
476,0,0,0,1,0,0,1,1,0,0,0,0
477,1,0,0,1,0,0,0,0,0,1,0,1
478,0,0,0,0,0,0,0,0,0,1,0,1
479,0,0,0,1,0,0,0,0,0,0,0,1
