,candidate,party,party_short,colors,score
0,Nicolas Dupont-Aignan,Debout la France,DLF,#0082C4,4.70
1,Marine Le Pen,Front National,FN,#0D378A,21.30
2,Emmanuel Macron,En Marche,EM,#FFD600,24.01
3,Benoît Hamon,Parti Socialiste,PS,#FF8080,6.36
4,Nathalie Arthaud,Lutte Ouvrière,LO,#AA0000,0.64
5,Philippe Poutou,Nouveau Parti Anticapitaliste,NPA,#bb0000,1.09
6,Jacques Cheminade,Solidarité et Progrès,SP,#e0dcad,0.18
7,Jean Lassalle,Résistons,R,#26c4ec,1.21
8,Jean-Luc Mélenchon,La France Insoumise,LFI,#cc2443,19.58
9,François Asselineau,Union Populaire Républicaine,UPR,#9ad6af,0.92
10,François Fillon,Les Républicains,LR,#0066CC,20.01